count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
301,0.295604,-0.162,-0.428,-2.894,-0.00241,-0.00262,-0.00174,0
302,0.296578,-0.154,-0.415,-2.942,-0.00242,-0.00259,-0.00193,0
303,0.297569,-0.167,-0.418,-2.924,-0.00234,-0.00272,-0.00208,0
304,0.29856,-0.165,-0.404,-2.897,-0.0025,-0.00273,-0.00229,0
305,0.29954,-0.169,-0.42,-2.874,-0.00247,-0.00293,-0.00227,0
306,0.300514,-0.15,-0.428,-2.859,-0.00243,-0.00289,-0.00227,0
307,0.301488,-0.165,-0.442,-2.871,-0.00239,-0.00273,-0.00209,0
308,0.302479,-0.15,-0.428,-2.93,-0.00237,-0.00275,-0.00151,0
309,0.30347,-0.152,-0.402,-2.895,-0.00239,-0.00269,-0.00178,0
310,0.30445,-0.161,-0.444,-2.863,-0.00221,-0.0028,-0.00171,0
311,0.305424,-0.11,-0.395,-2.888,-0.0024,-0.00265,-0.00159,0
312,0.306398,-0.168,-0.415,-2.896,-0.00245,-0.00281,-0.00174,0
313,0.307389,-0.156,-0.436,-2.872,-0.00247,-0.00293,-0.00197,0
314,0.30838,-0.174,-0.418,-2.867,-0.00239,-0.00285,-0.00179,0
315,0.30936,-0.146,-0.414,-2.881,-0.00236,-0.00273,-0.00155,0
316,0.310352,-0.156,-0.435,-2.914,-0.00229,-0.00278,-0.00208,0
317,0.311326,-0.126,-0.42,-2.893,-0.00239,-0.0029,-0.00181,0
318,0.312317,-0.143,-0.438,-2.907,-0.00232,-0.00275,-0.00159,0
319,0.313308,-0.156,-0.419,-2.933,-0.00258,-0.00291,-0.00177,0
320,0.314288,-0.153,-0.433,-2.903,-0.00248,-0.00285,-0.00136,0
321,0.315262,-0.162,-0.418,-2.893,-0.00246,-0.00289,-0.00152,0
322,0.316236,-0.151,-0.41,-2.888,-0.00253,-0.00286,-0.00137,0
323,0.317227,-0.153,-0.419,-2.883,-0.00245,-0.003,-0.00157,0
324,0.318218,-0.172,-0.432,-2.879,-0.00235,-0.003,-0.00172,0
325,0.319198,-0.144,-0.419,-2.904,-0.00232,-0.0028,-0.0016,0
326,0.320172,-0.158,-0.437,-2.881,-0.0024,-0.0028,-0.00166,0
