count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
141,0.138753,-0.103,-0.101,-2.671,0.0017,-0.00431,-0.00162,0
142,0.139744,-0.109,-0.123,-2.626,0.00171,-0.00418,-0.00127,0
143,0.140735,-0.109,-0.094,-2.687,0.00162,-0.00406,-0.00175,0
144,0.141726,-0.127,-0.105,-2.638,0.00157,-0.00428,-0.0019,0
145,0.142706,-0.11,-0.127,-2.663,0.00167,-0.00414,-0.00175,0
146,0.14368,-0.131,-0.129,-2.654,0.00175,-0.00429,-0.00151,0
147,0.144671,-0.118,-0.11,-2.675,0.00166,-0.00431,-0.00132,0
148,0.145662,-0.133,-0.122,-2.656,0.00158,-0.00424,-0.00145,0
149,0.146653,-0.124,-0.105,-2.648,0.00155,-0.0042,-0.00227,0
150,0.147633,-0.109,-0.127,-2.671,0.00162,-0.00412,-0.0018,0
151,0.148607,-0.122,-0.132,-2.668,0.00174,-0.00424,-0.00166,0
152,0.149598,-0.119,-0.128,-2.661,0.00186,-0.00423,-0.00147,0
153,0.150589,-0.112,-0.119,-2.628,0.0016,-0.00421,-0.00157,0
154,0.15158,-0.104,-0.099,-2.64,0.00158,-0.00412,-0.00145,0
155,0.15256,-0.101,-0.098,-2.609,0.00165,-0.00422,-0.00151,0
156,0.153534,-0.125,-0.096,-2.611,0.00163,-0.00422,-0.00163,0
157,0.154525,-0.132,-0.127,-2.658,0.00166,-0.00431,-0.00157,0
158,0.155516,-0.123,-0.118,-2.636,0.00146,-0.0044,-0.0017,0
159,0.156508,-0.131,-0.118,-2.672,0.00165,-0.00432,-0.00204,0
160,0.157482,-0.102,-0.101,-2.642,0.00148,-0.00428,-0.00156,0
161,0.158456,-0.116,-0.12,-2.672,0.00167,-0.00419,-0.00149,0
162,0.159447,-0.113,-0.122,-2.652,0.00156,-0.00415,-0.00149,0
163,0.160438,-0.11,-0.11,-2.657,0.00155,-0.0042,-0.00154,0
164,0.161431,-0.091,-0.122,-2.661,0.00164,-0.00411,-0.00127,0
165,0.162405,-0.111,-0.112,-2.647,0.00167,-0.00416,-0.00172,0
166,0.163379,-0.137,-0.137,-2.631,0.00169,-0.00417,-0.00151,0
